,trip_id,bikeid,tripduration,from_station_id,to_station_id,birthyear
count,308649,308649,308649,308649,308649,308649
mean,13249574.280953446,3159.564641388762,610.309312520047,181.21918425136644,180.70442152736604,1979.2986304831702
std,157775.26613255162,1738.1360207847451,1099.6461514732337,130.2303793365945,130.7112830061694,11.236143852169809
min,12979231,1,60,2,2,1899
25%,13112336,1637,307,75,75,1972
50%,13250577,3306,482,157,153,1982
75%,13387376,4717,762,274,276,1988
max,13518905,5920,84718,620,620,2016
