,trip_id,bikeid,tripduration,from_station_id,to_station_id,birthyear
count,390210,390210,390210,390210,390210,390210
mean,13250375.460116347,3143.73313600369,628.1143256195382,183.2608031572743,182.71656800184516,1979.741803131647
std,156889.5411082081,1737.6555870256554,1154.3490016863004,130.70365167314623,131.0930642825316,11.147389963343338
min,12979231,1,60,2,2,1899
25%,13114483.25,1616.25,313,75,75,1973
50%,13252402.5,3285,496,161,157,1983
75%,13386550.5,4698,788,280,282,1988
max,13518905,5920,85782,620,620,2016
