,trip_id,bikeid,tripduration,from_station_id,to_station_id,birthyear
count,4,4,4,4,4,4
mean,13241312.5,2760.25,454.25,207,206.25,1979
std,123809.30764553473,1606.0461543803776,381.9593128419134,0,0.5,0
min,13070858,706,237,207,206,1979
25%,13191518,2103.25,242.25,207,206,1979
50%,13272626,2879.5,277.5,207,206,1979
75%,13322420.5,3536.5,489.5,207,206.25,1979
max,13349140,4576,1025,207,207,1979
