,trip_id,bikeid,tripduration,from_station_id,to_station_id,birthyear
count,98,98,98,98,98,98
mean,13162273.448979592,3221.3571428571427,1198.9795918367347,151.5612244897959,145.59183673469389,1977.6632653061224
std,139931.656756213,1681.3746293821307,3029.2749463543487,108.43013488446137,108.5911500575366,7.104440135593179
min,13029459,93,147,4,4,1957
25%,13071852.25,1981,522.25,66.75,63.75,1976
50%,13116084.5,3515.5,797,117,111,1976
75%,13238675.25,4813.5,1268.25,207.25,198.75,1978
max,13503151,5888,30469,507,507,1993
