,trip_id,bikeid,tripduration,from_station_id,to_station_id,birthyear
count,81663,81663,81663,81663,81663,81663
mean,13253297.38189878,3083.9716150521044,696.0857303797313,190.9403156876431,190.27816759119798,1981.4142634975449
std,153468.78685232272,1734.4593982226068,1342.5256564178424,132.17237157339602,132.23131228043204,10.636150175333775
min,12979240,1,60,2,2,1930
25%,13121656,1557,341,77,77,1976
50%,13255899,3198,554,172,168,1985
75%,13383587,4629,883,287,287,1989
max,13518903,5920,85782,620,620,2000
